forbearance	trpělivost
forbid	zakazovat
forbid	zakázat
forbiddance	zákaz
forbidden	zakázaný
forbidden	zakázáno
forbidding	zakazování
forbiddingly	nepřátelsky
force	armáda
force	donucení
force	donucovat
force	donutit
force	efekt
force	nutit
force	násilí
force	nátlak
force	platnost
force	přimět
force	přinutit
force	silový
force	síla
force	tlak
force	urychlit
force	uspíšit
force	vliv
force	vnucovat
force	vnutit
force	vynutit
force	vypáčit
force	vyrazit
forceful	energický
forcefully	důrazně
forcefully	energicky
forcefulness	energičnost
forceps	pinzeta
forcible	násilný
forcibly	nuceně
ford	brod
ford	přebrodit
fore	přední
fore	přední část
fore	příď
fore	příďový
forearm	předloktí
forebear	předek
forebrain	přední mozek
forecast	prognóza
forecast	předpovídat
forecast	předpovědět
forecast	předpověď
forecast	předvídat
forecaster	prognostik
forecaster	prorok
forecasting	předpovídání
forecasting	předpověď
foreclose	zabavit zastavený majetek
foreclose	zabránit
foreclosure	zabavení
forecourt	nádvoří
foredeck	přední paluba
foredeck	příď
forefinger	ukazovák
forefinger	ukazováček
forefoot	přední noha
forefront	popředí
foregather	sejít se
forego	předejít
foregone	ušlý
foreground	popředí
forehand	forehand
forehand	forhend
forehead	čelo
foreign	cizojazyčný
foreign	cizokrajný
foreign	cizozemský
foreign	cizí
foreign	zahraniční
foreigner	cizinec
foreignness	cizost
foreknowledge	informovanost
foreland	mys
foreland	útes
foreleg	přední noha
forelimb	přední končetina
forelimb	přední úd
forelock	kštice
forelock	ofina
forelock	závlačka
foreman	mistr
foreman	předák
foremast	přední stěžeň
foremast	příďový stěžeň
foremost	nejlepší
foremost	nejprve
forename	křestní jméno
forenoon	dopoledne
forensic	forenzní
forensic	soudní
forepart	předek
foreplay	předehra
forerunner	předchůdce
forerunner	předzvěst
foresail	přední plachta
foresee	předvídat
foreseeable	dohledný
foreseeable	předvídatelný
foreseen	předvídaný
foreshadow	věstit
foreshore	pláž
foreshore	příbřeží
foresight	prozíravost
foreskin	předkožka
forest	les
forest	lesní
forest	prales
forest	zalesnit
forestall	předejít
forestall	zabránit
forestay	přední stěh
forestry	lesnictví
foretaste	náznak
foretaste	předzvěst
foretell	prorokovat
foretell	předpovídat
foretell	předpovědět
foretell	předvídat
foretell	věštit
forethought	prozíravost
foretold	prorokoval
foretold	předpovídal
foretold	předpovězeno
forever	navěky
forever	navždy
forever	pořád
forever	stále
forewarn	varovat
forewarn	varovat předem
forewoman	mistrová
foreword	předmluva
forfeit	pozbytí něčeho
forfeit	propadnutí
forfeit	zástava
forfeiture	propadnutí
forfeiture	zánik
forge	falšovat
forge	kovat
forge	kovárna
forge	padělat
forge	vykovat
forge	výheň
forge	zfalšovat
forger	falšovatel
forger	padělatel
forgery	padělek
forgery	padělání
forget	nepamatovat si
forget	zapomenout
forget	zapomínat
forget-me-not	druh rostliny
forget-me-not	pomněnka
forget-me-not	poměnka
forgetful	zapomnětlivý
forgetful	zapomětlivý
forgetfulness	zapomnětlivost
forgettable	zapomenutelný
forgivable	odpustitelný
forgive	odpustit
forgive	prominout
forgiveness	odpuštění
forgivingness	shovívavost
forgo	předejít
forgo	vzdát se
forgotten	zapomenutý
fork	rozcestí
fork	rozdvojení
fork	rozdvojit
fork	rozdvojit se
fork	rozvětvení
fork	rozvětvovat se
fork	soutok
fork	vidle
fork	vidlice
fork	vidlička
fork	větvit se
forlorn	beznadějný
forlorn	opuštěný
forlorn	osamocený
forlornly	opuštěně
forlornly	osamoceně
form	blanket
form	forma
form	formovat
form	formulář
form	organizovat
form	podoba
form	povaha
form	tiskopis
form	tvar
form	tvarovat
form	tvořit
