breath	lucht
breathe	ademen
breathe	ademhalen
breathing	adem
breathing	ademhaling
breathless	amechtig
breed	dresseren
breed	grootbrengen
breed	kweken
breed	opleiden
breed	opvoeden
breed	ras
breed	soort
breed	voortbrengen
breeding	beschaving
breeding	opleiding
breeding	opvoeding
breeding	teelt
breeze	bries
breezy	levendig
breezy	winderig
breviary	brevier
brevity	beknoptheid
brew	trekken
brew	uitbroeden
brew	zetten
brewer	bierbrouwer
brewer	brouwer
bribable	veil
bribe	omkopen
brick	baksteen
brick	bakstenen
brick	blok
brick	bouwsteen
brick	klinker
brick	steen
brick	stuk
brick	tichel
bricklayer	metselaar
brickwork	metselwerk
bridal	bruiloft
bride	bruid
bride	jonggehuwde
bride	meisje
bride	verloofde
bridegroom	bruidegom
bridge	brug
bridge	commandobrug
bridle	bedwingen
bridle	beteugelen
bridle	betomen
bridle	breidel
bridle	intomen
bridle	teugel
bridle	toom
brief	beknopt
brief	bondig
brief	inlichten
brief	instrueren
brief	kort
brief	kortstondig
brief	opdracht
briefly	beknopt
briefly	bondig
briefly	kort
briefness	beknoptheid
briefs	slip
briefs	slipje
brigade	brigade
brigand	struikrover
bright	briljant
bright	glanzend
bright	hel
bright	helder
bright	intelligent
bright	klaar
bright	levendig
bright	licht
bright	lichtend
bright	lumineus
bright	opgewekt
bright	schitterend
bright	snugger
brighten	opklaren
brighten	opmonteren
brightness	glans
brightness	helderheid
brightness	schittering
brilliance	glans
brilliance	pracht
brilliance	schittering
brilliancy	glans
brilliancy	pracht
brilliancy	schittering
brilliant	briljant
brilliant	glanzend
brilliant	lumineus
brilliant	schitterend
brim	band
brim	boord
brim	kant
brim	rand
brim	zoom
brimful	boordevol
brimstone	zwavel
brine	zee
bring	aanbrengen
bring	aandragen
bring	bezorgen
bring	brengen
bring	halen
brink	band
brink	boord
brink	kant
brink	rand
brink	zoom
briny	zout
briquette	briket
brisk	flink
brisk	kwiek
brisk	levendig
brisk	vlug
bristle	borstel
bristly	borstelig
bristly	rechtopstaand
bristly	ruigharig
bristly	ruwharig
brittle	breekbaar
brittle	broos
broach	aanbreken
broad	breed
broad	duidelijk
broad	grof
broad	ruim
broad	ruw
broad	sterk
broad	uitgestrekt
broad	wijd
broadly	algemeen
broadly	breed
broadly	ruim
brochure	brochure
brokenhearted	ontroostbaar
broker	makelaar
brokerage	courtage
bromine	broom
bronchitis	bronchitis
bronze	brons
bronze	bronzen
brooch	borstspeld
brooch	broche
brood	broeden
brood	broedsel
brood	piekeren
brook	beek
brook	dulden
broom	bezem
broom	veger
broth	bouillon
broth	vleesnat
brothel	bordeel
brothel	hoerenkast
brother	broeder
brother	broer
brother	collega
brother-in-law	schoonbroer
brother-in-law	zwager
brotherhood	broederschap
brow	voorhoofd
brow	wenkbrauw
brown	bruin
brown	bruin worden
brown	bruinen
brown	bruineren
brownie	aardmannetje
brownie	kabouter
bruise	blutsen
bruise	kneuzen
brush	borstel
brush	kwast
brush	penseel
brush	vegen
brusque	bruusk
brutal	beestachtig
brutal	onmenselijk
brutal	ruw
brute	beest
brute	beestachtig
brute	bruut
brute	dier
brute	dierlijk
brute	onmens
brute	ruw
brutish	beestachtig
brutish	dierlijk
bubble	blaas
bubble	blaasje
bubbly	champagne
buccaneer	zeerover
buck	bok
