emulator	Nachbilder
emulsify	emulgieren
emulsions	Emulsionen
enable	Freigabe
enable	aktivieren
enable	einschalten
enable	freigeben
enables	ermöglicht
enact	verfügen
enact	verordnen
enactment	Inkraftsetzung
enactment	Verordnung
enamel	Email
enamel	Emaille
enamel	Emailmalerei
enamel	Lack
enamel	Nagellack
enamel	Schmelz
enamel	Schmelzglas
enamel	Zahnschmelz
enamel	emaillieren
enamel	glasieren
enamel	lackieren
encampment	Lager
encapsulate	abkapseln
encapsulate	kapseln
encapsulate	verbergen
encapsulate	verkapsele
encapsulated	gekapselt
encapsulated	verkapselt
encapsulated	verkapselte
encapsulation	Verkapselung
encase	einschließen
encase	umhüllen
encephalitis	Enzephalitis
enchain	fesseln
enchant	bezaubern
enchanted	bezaubert
enchanted	bezauberte
enchanted	verwunschen
enchanter	Zauberer
enchanting	amüsant
enchanting	bezaubernd
enchantment	Bezauberung
enchantment	Verzauberung
enchantment	Zauber
enchantress	Zauberin
enchiridion	Handbuch
encipher	verschlüsseln
encircle	einkreisen
encircle	umzingeln
encircled	eingekreist
encirclement	Umzingelung
enclave	Enklave
enclose	anfügen
enclose	beifügen
enclose	beilegen
enclose	einfrieden
enclose	einschließen
enclose	enthalten
enclose	umfrieden
enclose	umgeben
enclose	umschließen
enclosed	anbei
enclosed	beiliegend
enclosed	eingeschlossen
enclosed	inliegend
enclosure	Beilage
enclosure	Einfriedung
enclosure	Einzäunung
enclosure	Koppel
enclosure	Umfriedung
enclosure	Umzäunung
encode	codieren
encode	kodieren
encode	verschlüsseln
encoded	codiert
encoded	kodiert
encoded	verschlüsselte
encoding	Codierung
encoding	Verschlüsselung
encompass	umgeben
encompass	umgreifen
encore	Zugabe
encounter	Begegnung
encounter	Gefecht
encounter	Treffen
encounter	Zusammenstoß
encounter	entgegentreten
encourage	anfeuern
encourage	ermuntern
encourage	ermutigen
encourage	fördern
encouraged	angespornt
encouraged	ermutigt
encouraged	ermutigte
encouragement	Aufmunterung
encouragement	Einsatz
encouragement	Ermunterung
encouragement	Ermutigung
encourages	ermuntert
encourages	ermutigt
encourages	unterstützt
encouraging	anspornend
encouraging	ermunternd
encouraging	ermutigend
encroach	eingreifen
encroach	missbrauchen
encroachment	Eingriff
encrustation	Bedeckung
encrypt	verschlüsseln
encrypted	verschlüsselt
encryption	Verschlüsselung
encryption	Verstecken
encumber	belasten
encumbrance	Belastung
encumbrance	Verschuldung
encyclopedia	Lexikon
encyclopedic	enzyklopädisch
encyclopedic	umfassend
end	Ende
end	Kippe
end	Schluss
end	Ziel
end	Zigarettenkippe
end	Zigarettenstummel
end	Zipfel
end	Zweck
end	beenden
end	beendigen
end	enden
end	endigen
endanger	gefährden
endangered	gefährdet
endangered	gefährdete
endearing	zärtlich
endearment	Zärtlichkeit
endearment	Zärtlichkeiten
endemic	beheimatet
endemic	einheimisch
endemic	endemisch
endemic	heimisch
ending	Beendigung
ending	Ende
ending	Endung
ending	endend
endings	Endungen
endless	endlos
endlessly	endlos
endlessly	endlose
endlessness	Unendlichkeit
endmost	letzte
endocrine	endokrin
endocrinologist	Endokrinologe
endocrinology	Endokrinologie
endogenous	endogen
endorse	beipflichten
endorse	bestätigen
endorse	billigen
endorse	indossieren
endorsee	Indossatar
endorsement	Befürwortung
endorsement	Bestätigung
endorsement	Billigung
endorsement	Unterstützung
endorsement	Vermerk
endorsement	Zusatz
endorsement	Übertragung
endorser	Indossant
endow	ausstatten
endow	beschenken
endow	dotieren
endow	stiften
endow	subventionieren
endow	unterstützen
endowment	Ausstattung
endowment	Aussteuer
endowment	Begabung
endowment	Dotierung
endowment	Gabe
endowment	Stiftung
endowment	Talent
ends	beendet
ends	endet
endue	bekleiden
endue	kleiden
endurable	erträglich
endurance	Ausdauer
endurance	Dauer
endurance	Geduld
endure	aushalten
endure	ertragen
endured	ausgehalten
endured	ertrug
enduring	andauernd
enduring	bleibend
enduringness	Ausdauer
enema	Einlauf
enemies	Feinde
enemy	Feind
