medicinal	целебный
medicine	лекарство
medicine	медикамент
medicine	медицина
medicines	лекарство
medicines	медицина
medico	доктор
medieval	средневековый
mediocre	заурядный
mediocre	посредственный
mediocrity	заурядность
mediocrity	посредственность
meditate	замышлять
meditate	обдумывать
meditate	раздумывать
meditate	размышлять
meditate	рассуждать
meditation	медитация
meditation	раздумье
meditation	созерцание
meditative	задумчивый
medium	медиум
medium	обстановка
medium	среда
medium	средний
medium	средство
medley	мешанина
medley	попурри
medley	смесь
medulla	костный мозг
medulla	сердцевина
meed	награда
meek	кроткий
meek	мягкий
meek	смиренный
meek	смирный
meekly	кротко
meekness	кротость
meekness	мягкость
meet	встретить
meet	встретиться
meet	встречать
meet	встречаться
meet	знакомить
meet	знакомиться
meet	оплачивать
meet	отвечать
meet	собираться
meet	соответствовать
meet	сходиться
meet	удовлетворять
meet together	собираться
meet together	сходиться
meeting	встреча
meeting	заседание
meeting	свидание
meeting	собрание
meeting	соединение
megabyte	мегабайт
megacycle	мегагерц
megahertz	мегагерц
megalomania	мания величия
megaphone	мегафон
melancholia	меланхолия
melancholic	грустный
melancholic	меланхолический
melancholy	грустный
melancholy	грусть
melancholy	меланхоличный
melancholy	меланхолия
melancholy	мрачный
melancholy	тоска
melancholy	уныние
melange	смесь
melee	рукопашная схватка
melee	свалка
meliorate	улучшать
melioration	улучшение
mellifluous	сладкозвучный
mellow	зрелый
mellow	мягкий
mellow	подвыпивший
mellow	рыхлый
mellow	смягчать
mellow	созревать
mellow	сочный
mellow	спелый
mellowness	зрелость
mellowness	мягкость
mellowness	сочность
mellowness	спелость
melodic	мелодический
melodic	мелодичный
melodious	мелодический
melodious	мелодичный
melodious	музыкальный
melodramatic	аффектированный
melodramatic	мелодраматический
melody	мелодия
melon	дыня
melt	исчезать
melt	плавить
melt	плавиться
melt	плавка
melt	расплавлять
melt	расплавляться
melt	растапливать
melt	растапливаться
melt	растаять
melt	растворять
melt	растворяться
melt	смягчать
melt	смягчаться
melt	таять
melt	топить
melt	топиться
melt away	улетучиваться
melted	топленый
melting	плавка
melting	таяние
member	звено
member	конечность
member	участник
member	член
member	элемент
membership	принадлежность
membership	членство
membrane	диафрагма
membrane	мембрана
membrane	перепонка
membrane	плева
membrane	пленка
memento	напоминание
memento	сувенир
memo	заметка
memo	записка
memoirs	записки
memoirs	мемуары
memorable	незабвенный
memorable	незабываемый
memorable	памятный
memorandum	заметка
memorandum	записка
memorial	мемориал
memorial	памятник
memorize	запоминать
memorize	заучивать наизусть
memory	воспоминание
memory	запоминающее устройство
memory	память
menace	грозить
menace	опасность
menace	угрожать
menace	угроза
menacing	угрожающий
menage	домашний: домашнее хозяйство
menagerie	зверинец
mend	исправить
mend	исправлять
mend	латать
mend	поправлять
mend	поправляться
mend	починить
mend	починять
mend	ремонтировать
mend	улучшать
mend	чинить
mend	штопать
mendacious	лживый
mendacious	ложный
mendacity	лживость
mendicancy	нищенство
mendicancy	попрошайничество
mendicant	нищий
mendicant	попрошайка
mending	исправление
mending	поправка
mending	починка
mending	ремонт
mending	улучшение
menial	раболепный
meningitis	менингит
meniscus	мениск
menopause	климактерический период
menopause	менопауза
menstruate	менструировать
menstruation	менструация
mensurable	измеримый
mensuration	измерение
mental	психический
mental	умственный
mentality	склад ума
mentally	мысленно
mentally deficient	слабоумный
menthol	ментол
mention	упоминание
mention	упоминать
mentor	ментор
mentor	наставник
menu	меню
