descriptive	popisný
descriptively	deskriptivně
descry	rozeznat
descry	rozpoznat
desecrate	znesvětit
desecration	zhanobení
desecration	znesvěcení
desecration	zneuctění
desegregation	desegregace
desegregation	dezagregace
desensitization	znecitlivění
desensitize	snížit citlivost
desensitize	učinit méně citlivým
desensitize	znecitlivit
desert	dezertovat
desert	opouštět
desert	opustit
desert	pouštní
desert	poušť
desert	pustina
desert	zanechat
desert	zběhnout
deserter	dezertér
desertion	dezerce
deserve	být hoden
deserve	zasloužit
deserve	zasloužit si
deserve	zasluhovat
deservedly	právem
deservedly	zaslouženě
desiccation	vysoušení
desiccation	vysychání
desideratum	požadavek
design	konstrukce
design	kresba
design	naplánovat
design	navrhnout
design	navrhovat
design	nárys
design	návrh
design	náčrt
design	plán
design	plánovat
design	projekt
design	projektovat
design	určit
design	vzor
designate	designovat
designate	jmenovat
designate	označit
designate	stanovit
designate	určit
designate	ustanovit
designate	vyznačit
designation	jmenování
designation	ustanovení
designer	konstruktér
designer	návrhář
designer	projektant
designer	výtvarník
designer	značkový
designing	navrhování
designing	projektování
desirability	vhodnost
desirable	kýžený
desirable	vhodný
desirable	žádoucí
desire	dychtit
desire	prosba
desire	přání
desire	přát si
desire	touha
desire	toužit
desire	toužit po
desire	žádat
desirous	dychtivý
desirous	žádostivý
desist	ustat
desk	deska
desk	psací deska
desk	psací stůl
desk	pult
desk	přepážka
desk	stůl
desktop	desktop
desktop	pracovní plocha
desktop	psací stůl
desolate	beznadějný
desolate	bezútěsný
desolate	bezútěšný
desolate	dezolátní
desolate	opuštěný
desolate	pustý
desolate	skleslý
desolate	skličující
desolate	vylidněný
desolate	zpustošit
desolation	prázdnota
desolation	pustota
desorption	desorpce
despair	beznaděj
despair	zoufalství
despairingly	beznadějně
despairingly	zoufale
despatch	expedovat
desperado	desperát
desperado	zoufalec
desperate	beznadějný
desperate	zoufale potřebující
desperate	zoufalý
desperately	intenzivně
desperately	naléhavě
desperately	zoufale
desperation	zoufalství
despicable	bídný
despicable	mrzký
despicable	ohavný
despicable	opovrženíhodný
despise	opovrhovat
despise	pohrdat
despite	navzdory
despoil	vyloupit
despoil	vyplenit
despoiler	vykrádač
despoliation	vyloupení
despoliation	vyplenění
despond	zoufalství
despond	ztratit naději
despondency	deprese
despondency	skleslost
despondent	skleslý
despondent	sklíčený
despondently	sklíčeně
despot	despota
despot	tyran
despotic	despotický
despotism	despocie
despotism	despotismus
despotism	despotizmus
despotism	krutovláda
despotism	tyranie
desquamation	deskvamace
dessert	dezert
dessert	moučník
dessert	zákusek
dessertspoon	dezertní lžička
dessertspoon	lžička na dezert
destabilise	destabilizovat
destabilize	destabilizovat
destination	cíl
destination	cíl cesty
destination	místo určení
destination	určení
destiny	osud
destiny	určení
destitute	strádající
destitution	bída
destitution	chudoba
destitution	nouze
destroy	demolovat
destroy	ničit
destroy	zahubit
destroy	zbořit
destroy	zničit
destroy	zpustošit
destroyer	ničitel
destroyer	torpédoborec
destruct	zničit
destructibility	zničitelnost
destruction	destrukce
destruction	ničení
destruction	zkáza
destruction	zničení
destruction	záhuba
destructive	destruktivní
destructive	ničivý
destructively	destruktivně
destructiveness	destruktivnost
destructiveness	ničivost
desuetude	vyřazení pro zastaralost
desultory	nepravidelný
desultory	nesouvislý
desultory	povrchní
detach	detašovat
detach	oddělit
detach	odeslat
detach	odpojit
detach	odvelet
detach	utrhnout
detachable	oddělitelný
detachable	odpojitelný
detachment	detašování
detachment	nestrannost
detachment	objektivita
detachment	oddělení
detachment	odloučení
detachment	odpojení
detail	detail
detail	jednotlivost
detail	maličkost
