calve	vasikoida
calyx	verhiö
cam	epäkesko
cam	kehrä
camaraderie	toverillisuus
camber	kaareutua
camber	kuperuus
cambric	batisti
camel	kameli
camelhair	kamelinkarva
camellia	kamelia
cameo	kamee
camera	kamera
camera	valokuvauskone
camomile	kamomillasaunio
camouflage	naamioida
camouflage	naamioitua
camouflage	suojaväri
camp	eksentrinen
camp	leiri
camp	leiriytyä
camp	naismainen
campaign	kampanja
campaign	sotaretki
campaign	tempaus
campanile	kellotapuli
camper	leiriläinen
campfire	leirituli
camphor	kamferi
camping	leirielämä
camping	leirintä
camping	retkeily
can	kanisteri
can	kannu
can	kyetä
can	osata
can	peltirasia
can	purkki
can	putka
can	pystyä
can	pönttö
can	säilyketölkki
can	säilöä
can	tonkka
can	vankila
can	voida
canal	kaivanto
canal	kanava
canal	tiehyt
canalization	kanavointi
canard	ankka
canary	kanarialintu
cancel	epuuttaa
cancel	hylätä
cancel	kumota
cancel	kuolettaa
cancel	makuloida
cancel	mitätöidä
cancel	peruuttaa
cancel	pyyhkiä
cancellation	kumoaminen
cancellation	kuoletus
cancellation	peruutus
cancellation	purkaminen
cancellation	supistaminen
cancer	syöpä
candelabrum	kandelaaberi
candelabrum	kynttelikkö
candid	ennakkoluuloton
candid	suora
candidacy	ehdokkuus
candidate	ehdokas
candidate	hakija
candidate	kandidaatti
candidate	pyrkijä
candidate	tarjokas
candidate	tenttijä
candidate	vaaliehdokas
candidature	ehdokkuus
candidly	avoimesti
candidly	suoraan
candle	kynttilä
candlelight	kynttilänvalo
candour	avoimuus
candour	avomielisyys
candour	suoruus
candour	vilpittömyys
candy	karamelli
candy	makeiset
candyfloss	hattara
cane	kepittää
cane	keppi
cane	kävelykeppi
cane	lyödä
cane	patukka
cane	ruoko
cane	ruokokeppi
canine	koiramainen
canine	kulmahammas
canister	kanisteri
canister	kartessi
canister	peltirasia
canker	kalvaa
canker	mätäpaise
canker	syöpä
canker	tuho
canker	tuhota
cannabis	hasis
cannery	säilyketehdas
cannibal	kannibaali
cannibalism	kannibalismi
cannon	kanuuna
cannon	tykki
cannonade	tykkituli
canny	ovela
canny	säästäväinen
canny	varovainen
canoe	kanootti
canoe	meloa
canoeist	meloja
canon	kaanon
canon	kaniikki
canonical	kanoninen
canonize	kanonisoida
canopy	katos
canopy	kunniakatos
canopy	suojakatos
canopy	taivaankansi
canopy	telttakatos
canopy	vuodekatos
cant	erikoiskieli
cant	kallistaa
cant	kaltevuus
cant	vinous
cantankerous	ilkeä
cantata	kantaatti
canteen	kanttiini
canteen	ruokala
canteen	sotilaskoti
canter	laukka
canticle	ylistysvirsi
cantilever	konsoli
canto	laulu
canton	kantoni
canton	majoittaa
canton	piirikunta
cantor	kanttori
canvas	kanavakangas
canvas	kangas
canvas	purjekangas
canvas	telttakangas
canvass	kalastaa
canvass	kerätä
canvass	seuloa
canyon	kanjoni
cap	harja
cap	hattu
cap	hilkka
cap	huppu
cap	kansi
cap	kattaa
cap	kruunata
cap	kruunu
cap	lakki
cap	myssy
cap	nalli
cap	peittää
cap	päähine
cap	suljin
cap	voittaa
capability	kyky
capability	pystyvyys
capable	kykenevä
capable	kyvykäs
capable	pystyvä
capable	pätevä
capacitance	kapasitanssi
capacity	asema
capacity	kapasitanssi
capacity	kapasiteetti
capacity	kyky
capacity	kyvykkyys
capacity	ominaisuus
capacity	pätevyys
capacity	suorituskyky
capacity	teho
capacity	tilavuus
capacity	vetävyys
cape	kappa
cape	niemi
cape	vaippa
cape	viitta
caper	kuje
caper	kujeilla
capercaillie	metso
capillary	kapillaari
capital	erinomainen
capital	kapitaali
capital	pylväänpää
capital	pääkaupunki
