legitimately	законно
legitimize	легитимировать
legitimize	узаконивать
leisured	праздный
leisurely	неторопливый
leitmotif	лейтмотив
leitmotiv	лейтмотив
lemma	лемма
lemon	лимон
lemonade	лимонад
lend	взаймы: давать взаймы
lend	давать
lend	одалживать
lend	предоставлять
lend	придавать
lend	ссужать
lend out	одалживать
lender	заимодавец
lender	кредитор
lending	ссуда
length	длина
length	длительность
length	долгота
length	кусок
length	отрезок
length	продолжительность
length	протяжение
lengthen	удлинять
lengthways	вдоль
lengthwise	вдоль
lengthy	высокий
lengthy	многословный
lengthy	растянутый
lenient	мягкий
lenient	снисходительный
lens	линза
lens	лупа
lentil	чечевица
leo	лев
leopard	барс
leopard	леопард
leotard	трико
leper	прокаженный
leprechaun	гном
leprosy	проказа
lesbian	лесбийский
lesbian	лесбиянка
lesion	нарушение
lesion	повреждение
lesion	поражение
less	менее
less	меньше
less	меньший
lessee	арендатор
lessen	преуменьшать
lessen	убавлять
lessen	уменьшать
lessen	уменьшаться
lessening	преуменьшение
lessening	снижение
lessening	убавление
lessening	уменьшение
lesser	малый
lesser	меньший
lesser	небольшой
lesser	незначительный
lesser	ничтожный
lesson	лекция
lesson	урок
lessons	уроки
lessor	арендодатель
lest	чтобы не
let	давать
let	дозволять
let	оставлять
let	позволять
let	пускать
let	разрешать
let	сдавать внаем
let down	опускать
let down	разочаровывать
let go	выпускать
let go	освобождать
let go	упускать
let in	впускать
let in	впустить
let loose	освобождать
let out	выбалтывать
let out	выпускать
let out	выпустить
let out	напрокат: давать напрокат
let out	освобождать
let out	проболтаться
let out	сдавать внаем
letdown	разочарование
lethal	смертельный
lethal	смертоносный
lethally	смертельно
lethargic	апатичный
lethargic	вялый
lethargic	летаргический
lethargic	сонный
lethargy	вялость
lethargy	летаргия
lett	латыш
letter	буква
letter	литера
letter	литература
letter	надписывать
letter	письмо
letter	послание
letter-box	почтовый ящик
lettered	образованный
lettering	надпись
lettish	латышский
lettuce	салат
letup	перерыв
letup	приостановка
levee	гать
levee	дамба
levee	насыпь
level	ватерпас
level	выравнивать
level	высота
level	гладкий
level	горизонт
level	горизонтальный
level	направлять
level	плоский
level	равнина
level	равномерный
level	ровно
level	ровный
level	ровнять
level	сглаживать
level	спокойный
level	степень
level	ступень
level	уравнивать
level	уравновешенный
level	уровень
level	этаж
level off	выравнивать
level off	выровнять
level-headed	рассудительный
levelling	выравнивание
levelling	наводка
lever	рукоятка
lever	рычаг
leverage	влияние
leverage	воздействие
leverage	действие рычага
levity	ветреность
levity	легкомыслие
levy	взимание
levy	взимать
levy	взыскание
levy	взыскать
levy	взыскивать
levy	налог
levy	облагать
levy	сбор
lewd	непристойный
lewd	похотливый
lewd	развратный
lewd	распутный
lewdness	похотливость
lexicon	лексикон
lexicon	словарь
liabilities	долги
liabilities	пассивы
liability	долг
liability	долги
liability	задолженность
liability	обязательство
liability	ответственность
liable	обязанный
liable	ответственный
liable	подверженный
liable	предрасположенный
liable for military service	военнообязанный
liaison	связывание
liaison	связь
liana	лиана
liar	врун
liar	лгун
liar	лжец
libel	дискредитировать
libel	диффамация
libel	клевета
libel	клеветать
libellant	истец
libellous	клеветнический
liberal	великодушный
liberal	либерал
liberal	либеральный
liberal	обильный
liberal	щедрый
liberalism	либерализм
liberality	великодушие
