durable	trwały
duration	czas trwania
duration	długość
duration	trwanie
during	obok
during	podczas
during	przy
during	u
dusk	półmrok
dusk	zmierzch
dusk	zmrok
dusky	ciemny
dust	kurz
dust	pył
dustbin	pojemnik na śmieci
dusty	zakurzony
dutch	holenderski
dutchman	holender
dutiful	obowiązkowy
duty	cło
duty	obowiązek
duty	opłata
duty	podatek
duty	powinność
duty	zadanie
duty	zobowiązanie
duvet	pierzyna
dwarf	karzeł
dwarf	karłowaty
dwarf	krasnoludek
dwell	mieszkać
dwell	pozostawać
dwell	przebywać
dweller	mieszkaniec
dwelling	mieszkanie
dwelling	siedziba
dwindle	kurczyć się
dwindle	zmniejszać się
dyestuff	barwnik
dyeworks	farbiarnia
dying	konający
dying	umierający
dyke	grobla
dyke	tama
dynamic	dynamiczny
dynamical	dynamiczny
dynamics	dynamika
dynamism	dynamika
dynamite	dynamit
dynamo	dynamo
dynasty	dynastia
dyspepsia	niestrawność
e'er	zawsze
each	każdy
each	wszelki
eager	chętny
eager	gorliwy
eager	ochoczy
eager	pilny
eager	żądny
eagerness	gorliwość
eagerness	zapał
eagle	orzeł
ear	kłos
ear	słuch
ear	ucho
ear-phone	słuchawka
earache	ból ucha
earl	hrabia
earldom	hrabstwo
earlier	przedtem
earlier	wcześniej
early	wczesny
early	wcześnie
earn	zarabiać
earn	zarobić
earn	zasługiwać
earnest	powaga
earnest	poważny
earnest	rzetelny
earnings	zarobek
earnings	zarobki
earnings	zysk
earphone	słuchawka
earring	kolczyk
earsplitting	ogłuszający
earth	dno
earth	gleba
earth	grunt
earth	poddasze
earth	ziemia
earth	świat
earthing	uziemienie
earthly	ziemski
earthnut	trufla
earthquake	trzęsienie ziemi
earthy	ziemski
ease	rozluźniać
ease	uspokajać
ease	ułatwić
ease	wygoda
ease	zmniejszyć
ease	łagodzić
easel	stojak
easement	ulga
easily	łatwo
easily	łatwy
east	na wschód
east	wschodni
east	wschód
easter	wielkanoc
easterly	wschodni
eastern	orientalny
eastern	wschodni
eastward	na wschód
easy	beztroski
easy	cichy
easy	lekki
easy	lekko
easy	powoli
easy	spokojnie
easy	spokojny
easy	swobodny
easy	łatwo
easy	łatwy
eat	jeść
eatable	artykuły spożywcze
eatable	jadalny
eatable	żywność
eatery	restauracja
eaves	okap
eavesdrop	podsłuchiwać
ebony	heban
eccentric	dziwaczny
eccentric	dziwak
eccentric	ekscentryczny
ecclesiastic	duchowny
ecclesiastic	kościelny
ecclesiastical	duchowny
ecclesiastical	kościelny
echo	echo
eclipse	zaciemnić
eclipse	zasłonić
ecological	ekologicznie
ecological	ekologiczny
ecologically	ekologicznie
ecology	ekologia
economic	ekonomiczny
economic	gospodarczy
economical	ekonomiczny
economical	gospodarczy
economical	oszczędny
economics	ekonomika
economist	ekonomista
economize	oszczędzać
economy	ekonomika
economy	gospodarka
economy	oszczędność
ecstasy	ekstaza
ecumenical	ekumeniczny
eczema	egzema
eddy	wir
eden	raj
edge	brzeg
edge	krawędź
edge	margines
edge	obszyć
edge	ostrzyć
edge	skraj
edge	szlifować
edible	artykuły spożywcze
edible	jadalny
edict	dekret
edifice	budowa
edifice	gmach
edit	redagować
edit	wydawać
edition	edycja
edition	wydanie
edition	wydatek
editor	edytor
editor	redaktor
editor	wydawca
editorial	artykuł wstępny
editorial	redakcyjny
educate	kształcić
education	edukacja
education	nauczanie
education	nauka
education	oświata
education	wychowanie
education	wykształcenie
educator	wychowawca
eel	węgorz
efface	wymazać
effect	efekt
effect	konsekwencja
effect	rezultat
effect	skutek
effect	wrażenie
