inscription	inskripcio
insert	enigi
insert	enmeti
insert	enŝovi
inside	en
inside	ene
inside	interna
inside	internaĵo
inside	interne
inside	interne de
inside	internen
inside	interno
insidious	insida
insignia	insigno
insignificant	bagatela
insignificant	nesignifa
insignificant	sensignifa
insinuate	aludi kalumnie
insist	insisti
insistence	insistado
insistence	insisto
inspect	inspekti
inspect	revizi
inspection	inspektado
inspection	inspekto
inspector	inspektisto
inspector	inspektoro
inspector	kontrolisto
inspiration	inspirado
inspiration	inspiraĵo
inspiration	inspiro
inspire	inspiri
inspire	plifervorigi
inspire	plivigligi
inspiring	inspira
install	instali
instalment	anuitato
instalment	ekpago
instalment	unua partpago
instant	momento
instantly	senprokraste
instead	anstataŭe
instigate	instigi
instigator	incitanto
instigator	iniciatinto
instinct	instinkto
institute	instituto
institution	institucio
instruct	instrui
instruct	instrukcii
instruct	ordoni skribe
instruction	instruado
instruction	instrukcio
instruction	instruo
instructor	instruisto
instrument	ilo
instrument	instrumento
insubordinate	malobea
insubordinate	malobeema
insubordinate	ribelema
insubstantial	malsubstanca
insulate	izoli
insulation	izolado
insulator	izolilo
insult	insulti
insult	insulto
insult	ofendi
insult	ofendo
insulted	ofendita
insulting	insulta
insurance	asekuro
insure	asekuri
insurer	asekuristo
integer	entjera
integral	integra
integral	integralo
intellect	intelekto
intellectual	intelekta
intellectual	intelektulo
intelligence	inteligenteco
intelligence	inteligento
intelligent	inteligenta
intelligibility	komprenebleco
intend	intenci
intense	intensa
intensive	intensa
intensive	intensiva
intention	intenco
intentional	intenca
inter	entombigi
intercede	propeti
interchange	interŝanĝi
interest	interesi
interest	interesiĝo
interest	intereso
interest	interesto
interest	interezo
interest	rentumo
interested	interesita
interesting	interesa
interesting	kurioza
interface	interfaco
interference	perturbo
interior	interna
interior	interno
interjection	interjekcio
interment	enterigo
interment	entombigo
intermission	paŭzo
intermittent	intermita
internal	enlanda
internal	interna
international	internacia
interpret	interpreti
interpretation	interpretado
interpretation	interpreto
interpreter	interpretilo
interpreter	interpretisto
interpunction	interpunkcio
interrogate	esplordemandi
interrogate	pridemandi
interrupt	interrompi
interruption	interrompo
interval	intervalo
intervene	interveni
interview	intervjui
interview	intervjuo
intestine	intesto
intestines	intestaro
intimate	intima
intimidation	minaca timigo
into	en
intolerant	netolerema
intone	ekkanti
intoxicate	svenigi
intoxicated	ebria
intractable	kontraŭstarema
intrepid	aŭdaca
intrigue	intrigi
introduce	prezenti
introduction	enkonduko
intrude	entrudiĝi
invade	invadi
invasion	invado
invective	insultvorto
invent	elpensi
invent	eltrovi
invent	inventi
invention	eltrovaĵo
invention	eltrovo
invention	inventaĵo
invention	invento
inventor	inventinto
inventor	inventisto
inventory	inventaro
invest	investi
investigate	esplori
investigation	ekzameno
investigation	enketo
investigation	esplorado
investigation	esploro
investment	investado
investor	investanto
invincible	nevenkebla
invitation	invito
invite	inviti
invoice	fakturi
invoice	fakturo
invoke	alpreĝi
invoke	alvoki
invoke	alvoki preĝe
invoke	elpetigi
inwards	enen
inwards	internen
iodine	jodo
iota	joto
iridium	iridio
iris	irido
iron	fera
iron	fero
iron	gladi
iron	gladilo
ironic	ironia
ironwork	metalgarnaĵo
irony	ironio
irradiate	surradii
irradiation	surradiado
irresistible	nerezistebla
irresolute	hezitema
irresolution	ŝanceliĝemo
irrigate	akvumi
irrigate	irigaci
irrigate	irigacii
irrigate	traakvigi
island	insulo
isolate	izoli
isolated	izola
isolation	izolado
isolation	izoleco
isolation	izoliteco
