stylist	стилист
stylize	стилизовать
stylized	стилизованный
suasion	уговоры
suavity	вежливость
suavity	учтивость
sub	подводная лодка
sub	пожертвование
subaltern	подчиненный
subconscious	подсознание
subconscious	подсознательный
subconsciousness	подсознание
subcontinent	субконтинент
subcontract	субдоговор
subcontractor	субподрядчик
subdivide	подразделять
subdivision	деление
subdivision	подотдел
subdivision	подразделение
subdivision	разделение
subdue	подчинять
subdue	покорять
subdue	смягчать
subdue	укрощать
subdued	подавленный
subdued	приглушенный
subgroup	подгруппа
subhead	подзаголовок
subheading	подзаголовок
subject	вопрос
subject	гражданин
subject	дисциплина
subject	объект
subject	подвергать
subject	подданный
subject	подлежащее
subject	подчинять
subject	покорять
subject	предмет
subject	причина
subject	субъект
subject	сюжет
subject	тема
subject to	условие: при условии
subjection	зависимость
subjection	подчинение
subjection	покорение
subjection	порабощение
subjective	субъективный
subjectiveness	субъективность
subjectivity	субъективность
subjoin	добавлять
subjoining	добавление
subjugate	подчинять
subjugate	покорять
subjugate	порабощать
subjugation	подчинение
subjugation	покорение
subjunctive	сослагательное наклонение
sublet	передавать в субаренду
sublimate	возгон
sublimate	возгонять
sublimate	сублимировать
sublimation	возгонка
sublime	величавый
sublime	величественный
sublime	возвышенный
sublime	возгонять
sublime	надменный
sublime	сублимировать
sublimely	возвышенно
subliminal	подсознательный
sublimity	возвышенность
submachine-gun	автомат
submarine	подводная лодка
submerge	затоплять
submerge	погружать
submerge	погружаться
submission	повиновение
submission	подача
submission	подчинение
submission	покорение
submission	покорность
submission	представление
submissive	покорный
submissiveness	покорность
submit	передавать
submit	подавать
submit	предлагать
submit	представлять
subnormal	слабоумный
subordinate	второстепенный
subordinate	зависимый
subordinate	подчиненный
subordinate	подчинять
subordinated	подчиненный
subordination	зависимость
subordination	подчинение
subordination	субординация
suborner	дающий взятку
subpoena	вызывать в суд
subpoena	повестка
subprogram	подпрограмма
subroutine	подпрограмма
subscribe	абонировать
subscribe	подписывать
subscribe	подписываться
subscribed	подписанный
subscriber	абонент
subscriber	жертвователь
subscriber	подписчик
subscript	индекс
subscription	абонемент
subscription	выписка
subscription	подписание
subscription	подписка
subscription	подпись
subsequent	последующий
subsequent	следующий
subsequently	затем
subsequently	позже
subsequently	потом
subservience	раболепие
subservient	раболепный
subset	подмножество
subside	затихать
subside	опускаться
subside	оседать
subside	падать
subside	умолкать
subside	утихать
subsidence	понижение
subsidiary	второстепенный
subsidiary	добавочный
subsidiary	дополнительный
subsidiary	филиал
subsidize	субсидировать
subsidy	дотация
subsidy	субсидия
subsist	жить
subsist	существовать
subsistence	пропитание
subsistence	существование
subsoil	подпочва
subspecies	подвид
substance	вещество
substance	имущество
substance	материя
substance	содержание
substance	субстанция
substance	суть
substance	сущность
substantial	важный
substantial	вещественный
substantial	значительный
substantial	крепкий
substantial	питательный
substantial	прочный
substantial	реальный
substantial	состоятельный
substantial	существенный
substantial	сытный
substantiality	реальность
substantiate	доказывать
substantiate	обосновывать
substantiate	подтверждать
substantiation	обоснование
substantive	существительное
substation	подстанция
substitute	замена
substitute	заменитель
substitute	заменять
substitute	заместитель
substitute	замещать
substitute	подставлять
substitute	представитель
substitute	суррогат
substitution	замена
substitution	замещение
substitution	подстановка
substratum	основание
substratum	подпочва
substratum	субстрат
substruction	основание
substruction	фундамент
substructure	основание
substructure	фундамент
subsume	понимать
subsystem	подсистема
subtenant	поднаниматель
subtenant	субарендатор
subterfuge	отговорка
subterfuge	увертка
subterfuge	уловка
subterranean	подземный
subtile	изощренный
subtile	коварный
subtile	нежный
subtile	тонкий
subtile	утонченный
