grange	hacienda
granite	granito
granitic	granítico
grannie	abuelita
granny	abuela
granny	abuelita
grant	beca
grant	ceder
grant	cesión
grant	conceder
grant	concesión
grant	dar
grant	dispensar
grant	donar
grant	otorgamiento
grant	otorgar
grant	subvención
grantee	cesionario
grantor	otorgador
granular	granuloso
granulate	granular
granulated	granulado
granulation	granulación
granule	gránulo
grape	uva
grapefruit	pomelo
grapefruit	toronja
grapevine	vid
graph	curva
graph	diagrama
graph	gráfica
graph	gráfico
graphic	gráfico
graphical	gráfico
graphics	artes gráficas
graphics	gráfica
graphite	grafito
graphite	plombagina
graphologist	grafólogo
graphology	grafología
grapple	agarro
grapple	luchar
grasp	abarcar
grasp	abrazar
grasp	aferrar
grasp	agarrar
grasp	agarro
grasp	alcanzar
grasp	apretar
grasp	asimiento
grasp	asir
grasp	coger
grasp	comprender
grasp	comprensión
grasp	empuñar
grasp	entender
grasp	entendimiento
grasp	estrechar
grasp	idear
grasp	oprimir
grasp	pillar
grasper	avaro
grasping	avaro
grasping	codicioso
grass	césped
grass	herbaje
grass	hierba
grass	pasto
grass	soplar
grass	soplón
grass	yerba
grasshopper	langosta
grasshopper	saltamontes
grassland	dehesa
grassland	prado
grassy	herboso
grate	emparrillado
grate	enrejado
grate	hogar
grate	parrilla
grate	rallar
grate	raspar
grate	rechinar
grate	reja
grate	rejilla
grate	rozar
grate	verja
grated	rallado
grateful	agradable
grateful	agradecido
grateful	grato
grateful	reconocido
gratefulness	agradecimiento
gratefulness	reconocimiento
grater	rallador
grater	rallo
gratification	complacencia
gratification	gusto
gratification	placer
gratification	satisfacción
gratify	agradar
gratify	complacer
gratify	contentar
gratify	gratificar
gratify	halagar
gratify	satisfacer
grating	emparrillado
grating	enrejado
grating	parrilla
grating	rechinamiento
grating	reja
grating	rejilla
grating	retícula
grating	verja
grating	áspero
gratis	gratis
gratis	gratuito
gratitude	agradecimiento
gratitude	gratitud
gratitude	reconocimiento
gratuitous	gratuito
gratuitousness	voluntariedad
gratuity	gratificación
gratuity	propina
grave	difícil
grave	digno
grave	fosa
grave	grave
grave	hoya
grave	pesado
grave	sepulcro
grave	sepultura
grave	serio
grave	tumba
grave-clothes	mortaja
gravedigger	enterrador
gravedigger	sepulturero
gravel	balasto
gravel	cascajo
gravel	grava
gravel	guijo
graveness	gravedad
graveness	seriedad
graver	cincelador
graver	grabador
graveyard	campo santo
graveyard	camposanto
graveyard	cementerio
gravitate	gravitar
gravitation	gravitación
gravity	atracción
gravity	gravedad
gravity	pesadez
gravity	seriedad
gravity	solemnidad
gravy	jugo
gravy	salsa
gray	gris
gray	pardo
gray	rucio
grayish	grisáceo
graze	apacentar
graze	desolladura
graze	herbajear
graze	pacer
graze	pastar
graze	pastorear
graze	rascadura
graze	rozadura
grazing	pasto
grease	engrasar
grease	engrase
grease	enjundia
grease	grasa
grease	lubricar
grease	lubrificar
grease	manteca
grease	pringar
grease	pringue
grease	sebo
grease	sobornar
grease	untar
grease	unto
greaseproof	apergaminado
greaser	engrasador
greasily	grasiento
greasiness	untuosidad
greasy	aceitoso
greasy	gordo
greasy	grasiento
greasy	graso
greasy	mantecoso
greasy	mugriento
greasy	pringoso
greasy	resbaladizo
greasy	seboso
greasy	untuoso
greasy	zalamero
great	bárbaro
great	crecido
