stele	stéla
stellar	hvězdný
stellate	hvězdicovitý
stellate	hvězdicový
stem	dřík
stem	kmen
stem	lodyha
stem	mít původ v
stem	násada
stem	peň
stem	pocházet
stem	pramenit
stem	rukojeť
stem	stojina
stem	stonek
stem	stopka
stem	stvol
stem	udělat přítrž
stem	zarazit
stem	zastavit
stemless	bez stonku
stench	puch
stench	zápach
stencil	šablona
stenographer	stenograf
stenosis	stenóza
stentorian	stentorský
stentorian	zvučný
step	krok
step	opatření
step	stepovat
step-by-step	krok za krokem
stepbrother	nevlastní bratr
stepchild	nevlastní dítě
stepdaughter	nevlastní dcera
stepfather	nevlastní otec
stepfather	otčím
stepladder	schůdky
stepladder	štafle
stepmother	macecha
stepmother	nevlastní matka
steppe	step
stepper	krokový motor
stepsister	nevlastní sestra
stepson	nevlastní syn
stepwise	postupně
steradian	steradián
stereo	stereo
stereophonic	stereofonní
stereoscope	stereoskop
stereoscopic	stereoskopický
stereotype	stereotyp
stereotypical	stereotypní
sterile	neplodný
sterile	sterilní
sterilisation	sterilizace
sterilise	sterilizovat
steriliser	sterilizátor
sterility	neplodnost
sterility	sterilita
sterilization	sterilizace
sterilize	sterilizovat
sterilizer	sterilizátor
sterling	šterlink
stern	kritický
stern	nelítostný
stern	nepříjemný
stern	ocas
stern	přísný
stern	tvrdý
stern	zadek
sternal	hrudní
sternal	sternální
sternly	přísně
sternly	tvrdě
sternness	příkrost
sternness	přísnost
sternum	hrudní kost
sternum	sternum
steroid	steroid
stertorous	chroptivý
stertorous	chroptící
stet	zrušit korekturu
stethoscope	stetoskop
stevedore	dělník v přístavu
stew	dusit
stew	sádka
steward	stevard
stewardess	letuška
stewardess	stevardka
stewardship	správcovství
stick	bodnout
stick	bodnutí
stick	hůl
stick	hůlka
stick	klacek
stick	lepit
stick	nabodnout
stick	nalepit
stick	napíchnout
stick	probodnout
stick	propíchnout
stick	prut
stick	píchat
stick	píchnout
stick	píchnutí
stick	přilepit
stick	připíchnout
stick	strčit
stick	tyč
stick	tyčinka
stick	zapíchnout
stick-in-the-mud	nekňuba
sticker	nalepovací štítek
sticker	nálepka
stickily	lepivě
stickily	lepkavě
stickiness	lepkavost
sticking	blokování
sticking	lepení
sticking	přilepení
sticking	uváznutí
sticking	vyčnívající
stickleback	druh ryby
stickler	detailista
stickler	puntičkář
sticky	lepivý
sticky	lepkavý
sticky	mazlavý
stiff	nehybný
stiff	neohebný
stiff	pevný
stiff	silný
stiff	strnulý
stiff	tuhý
stiff	tvrdý
stiff	ztuha
stiff	ztuhlý
stiffen	naškrobit
stiffen	tuhnout
stiffen	vyztužit
stiffen	ztuhnout
stiffen	ztvrdnout
stiffener	tužidlo
stiffener	výztuha
stiffly	strnule
stiffly	stuhle
stiffness	ztuhlost
stifle	dusit
stifle	udusit
stigma	stigma
stigmata	jizvy
stigmata	stigmata
stigmatic	bodový
stigmatisation	stigmatizace
stile	sloupek
stiletto	bodec
stiletto	jehlové podpatky
stiletto	úzká dýka
still	dosud
still	ještě
still	klid
still	klidný
still	mlčící
still	nehybný
still	pokojný
still	pořád
still	přesto
still	stále
still	stále ještě
still	ticho
still	tichý
still	uklidnit
still	uklidňovat
still	utišit
stillborn	mrtvě narozený
stillness	ticho
stilly	klidně
stilly	tiše
stilt	chůda
stilt	kůl
stimulant	stimulant
stimulant	stimulující
stimulate	dráždit
stimulate	podnítit
stimulate	povzbudit
stimulating	simulující
stimulation	pobídnutí
stimulation	podnícení
stimulation	podnět
stimulation	povzbuzení
stimulation	simulace
stimulation	stimulace
stimulative	povzbuzující
stimulative	stimulační
stimulus	podnět
stimulus	popud
stimulus	stimul
sting	bodnout
sting	osten
