needle	tığ
needless	gereksiz
needless	lüzumsuz
needy	fakir
needy	muhtaç
needy	yoksul
nefarious	fena
nefarious	kötü
negate	inkar etmek
negate	reddetmek
negation	eksiklik
negation	hükümsüzlük
negation	yokluk
negative	aksi
negative	menetmek
negative	menfi
negative	negatif
negative	olumsuz
negative	ters
negative	çürütmek
negativism	şüphecilik
neglect	ihmal
neglect	ihmal etmek
neglect	savsaklamak
negligence	gaflet
negligence	ihmal
negligence	kayıtsızlık
negligence	saygısızca
negotiate	akdetmek
negotiate	başarmak
negotiate	müzakere
negotiation	görüşme
negotiation	müzakere
negro	zenci
neigh	kişneme
neigh	kişnemek
neighborhood	civar
neighborhood	havali
neighborhood	mahalle
neighborhood	semt
neighborhood	yöre
neolithic	neolitik
neoplasm	tümör
nephew	erkek yeğen
nephritis	nefrit
nerve	asap
nerve	cesaret
nerve	kuvvet
nerve	küstahlık
nerve	metanet
nerve	sinir
nerve	sinir cesaret
nerve	soğukkanlılık
nerveless	cansız
nerveless	dermansız
nerveless	güçsüz
nerveless	serinkanlı
nerveless	sinirsiz
nerveless	zayıf
nervous	asabiyet
nervous	korkak
nervous	sinirli
nervous	ürkek
nervy	sinirli
ness	burun
ness	çıkıntı
nest	küme
nest	yuva
nestle	barındırmak
net	halis
net	hile
net	kazanmak
net	kesintisiz
net	net
net	tuzak
net	şebeke
nether	alt
nether	cehennem
netting	ağ
netting	cibinlik
nettle	kızdırmak
nettle	sinirlendirmek
nettle	ısırgan
network	şebeke
neurology	asabiyeci
neuron	nöron
neurosis	nevroz
neutral	nötr
neutral	tarafsız
neutral	yansız
neutral	yansız tarafsız
never	asla
never	hiç
nevermore	asla
nevertheless	bununla beraber yinede
nevertheless	mamafih
nevertheless	yine de
new	ayça
new	görülmemiş
new	taze
new	yeni
news	haber
newsboy	gazeteci
newspaper	gazete
newspaperman	gazeteci
next	sonra
nexus	rabıta
nibble	kemirmek
nibble	çöplenmek
nice	cazip
nice	hoş
nice	ince
nice	iyi
nice	mükemmel
nice	nazik
nice	tatlı
nicety	hassaslık
nicety	incelik
niche	hücre
niche	mevki
nick	diş
nick	kertik
nick	kesmek
nick	kırpmak
nick	çentik
nick	çentmek
nickel	nikel
nickname	lakap
nickname	takma ad
niece	kız yeğen
nifty	hoş
nigh	yakın
night	akşam
night	daima
night	gece
night	karanlık
nightcap	takke
nightclub	gece kulübü
nightgown	gecelik
nighthawk	keçisağan
nighthawk	çobanaldatan
nightingale	bülbül
nightjar	çobanaldatan
nightmare	karabasan
nihilism	hiçlik
nihilism	yokluk
nil	hiç
nil	hiç sıfır
nimble	anlayışlı
nimble	atik
nimble	hünerli
nimble	tetik
nimble	uyanık
nimble	zeki
nimble	çabuk
nimble	çevik
nimble	çevik tez
nimbus	hale
nine	dokuz
ninth	dokuzuncu
nip	ayaz
nip	ayaz çimdik azıcık içki
nip	kesmek
nip	kırpmak
nip	sızlatmak
nip	tırmık
nip	çimdik
nipper	cımbız
nipper	oğlan
nipple	meme başı
nirvana	mutluluk
nit	sirke
nitrogen	azot
nitrogen	azotlu
nix	hiç
nix	reddetmek
nix	yok
no	değil
no	hiç
no	yok
nob	kafa
nob	zarif
nob	şık
nobility	asalet
nobility	asalet soyluluk
nobility	soyluluk
noble	asil
noble	heybetli
noble	mükemmel
noble	soylu
noble	soyluluk
noble	ulu
noble	yüce
noble	yüce gönüllü
noble	âlicenap
nobody	hiç kimse
nocturnal	geceleyin
nocturnal	geceye ait
nod	seçilmek
noddle	kafa
