avaricious	скупой
avatar	воплощение
avenge	мстить
avenger	мститель
avenue	авеню
avenue	аллея
avenue	дорога
avenue	проспект
avenue	путь
avenue	средство
aver	утверждать
average	средний
averment	утверждение
averse	нерасположенный
averse	несклонный
aversion	антипатия
aversion	гадливость
aversion	отвращение
avert	отвлекать
avert	отворачивать
avert	предотвращать
avertable	предотвратимый
aviary	вольер
aviary	птичник
aviation	авиация
aviator	авиатор
aviator	летчик
aviator	пилот
avid	алчный
avid	жадный
avidity	алчность
avidity	жадность
avidly	жадно
avocado	авокадо
avoid	избегать
avoid	избежать
avoid	сторониться
avoid	уклоняться
avoidance	уклонение
avoirdupois	тучность
avouch	гарантировать
avouch	признаваться
avouch	ручаться
avouch	сознаваться
avouch	уверять
avouch	утверждать
avow	признавать
avow	признаваться
avowal	признание
await	дожидаться
await	ждать
await	ожидать
await	поджидать
awake	бдительный
awake	бодрствующий
awake	будить
awake	пробуждать
awake	просыпаться
awake	разбудить
awaken	будить
awaken	пробуждать
awaken	просыпаться
awakening	пробуждение
award	вознаграждение
award	награда
award	награждать
award	награждение
award	премия
award	присуждать
award	присуждение
award	решение
awarding	присуждение
aware	знающий
aware	осведомленный
aware	сознающий
awareness	осознание
away	вон
away	далеко
away	прочь
away	удаленный
awe	благоговение
awe	страх
awful	ужасный
awfully	крайне
awfully	очень
awfully	ужасно
awfully	чрезвычайно
awkward	аляповатый
awkward	затруднительный
awkward	неловкий
awkward	неудобный
awkward	неуклюжий
awkward	неумелый
awkward	трудный
awkward	угловатый
awkwardness	неловкость
awkwardness	неуклюжесть
awkwardness	топорность
awl	шило
awning	навес
awning	тент
awry	вкривь
awry	искаженный
awry	косо
awry	криво
awry	кривой
awry	набок
ax	колун
ax	сокращать
ax	топор
ax	урезывать
axe	колун
axe	сокращать
axe	топор
axe	урезывать
axial	осевой
axilla	подмышка
axiom	аксиома
axiomatic	аксиоматический
axiomatical	аксиоматический
axis	ось
axle	ось
axman	лесоруб
ayatollah	аятолла
azalea	азалия
azerbaijani	азербайджанец
azote	азот
azotic	азотистый
azure	лазурный
b	родившийся
b	рожденный
babble	болтать
babble	болтовня
babble	бормотать
babble	журчать
babble	лепет
babble	лепетать
babble	проболтаться
babbler	болтун
babbler	говорун
babbling	болтовня
babbling	лепет
babe	дитя
babe	малютка
babe	младенец
baboon	бабуин
baby	дитя
baby	малый
baby	малыш
baby	малютка
baby	младенец
baby	небольшой
baby	ребенок
baby-sitter	няня
babyhood	младенчество
babyish	детский
babyish	ребяческий
babysitter	няня
bacchanalia	вакханалия
bachelor	бакалавр
bachelor	неженатый
bachelor	холостяк
bachelorhood	холостая жизнь
bacillus	бацилла
back	задний
back	изнанка
back	назад
back	обратно
back	осаживать
back	отсталый
back	поддерживать
back	подкреплять
back	позади
back	спина
back	спинка
back	ставить
back away	отступать
back up	поддерживать
backache	боль в спине
backbite	злословить
backbite	клеветать
backbone	основа
backbone	позвоночник
backbone	спинной хребет
backbreaking	изнурительный
backcloth	задник
backcomb	начесывать
backdate	датировать задним числом
backdown	отступление
background	данные
background	задний план
background	подоплека
background	происхождение
background	фон
backing	поддержка
backlash	зазор
backlash	люфт
backlash	ответный удар
backlog	задолженность
backlog	невыполненные заказы
