relatively	verraten
relativity	suhteellisuus
relax	hellittää
relax	hellitä
relax	höllentyä
relax	höllentää
relax	höltyä
relax	kirvoittaa
relax	laimeta
relax	laueta
relax	laukaista
relax	lieventää
relax	löyhentää
relax	löyhtyä
relax	rentouttaa
relax	rentoutua
relax	veltostaa
relaxation	laukeaminen
relaxation	virkistys
relaxing	lieventäminen
relay	rele
release	aukaista
release	hellittää
release	irrottaa
release	irrottaminen
release	julkaiseminen
release	julkaista
release	kirvoittaa
release	laukaisin
release	laukaista
release	luopua
release	päästää
release	vapauttaa
release	vapautuminen
releasing	irrottaminen
releasing	julkaiseminen
releasing	päästäminen
relegate	karkottaa
relegate	siirtää
relent	heltyä
relent	lauhtua
relent	leppyä
relent	pehmetä
relentless	heltymätön
relentless	leppymätön
relentless	säälimätön
relevance	asiallisuus
relevancy	asiallisuus
relevant	asiallinen
relevant	tähdellinen
reliability	käyttövarmuus
reliability	luotettavuus
reliable	reilu
reliable	taattu
reliable	vakavarainen
reliable	varma
reliance	luottamus
relic	muinaisjäännös
relic	muisto
relic	pyhäinjäännös
relict	relikti
relief	apu
relief	avustus
relief	helpotus
relief	huojennus
relief	kevennys
relief	kohokuva
relief	korkokuva
relief	lievennys
relief	lievike
relief	pinnanmuodostus
relieve	auttaa
relieve	huojentaa
relieve	keventää
relieve	kohottaa
relieve	laukaista
relieve	lieventää
relieve	vaihtaa
relieve	vapauttaa
relieve	varastaa
religion	uskonto
religion	uskontokunta
religious	hengellinen
religious	hurskas
religious	tunnollinen
religious	uskonnollinen
religiousness	hengellisyys
religiousness	uskonnollisuus
relinquish	jättää
relinquish	luopua
relinquish	luovuttaa
relish	höyste
relish	lisämaku
relish	maistua
relish	maku
relish	nauttia
relish	pitää
relish	viehätys
relish	vivahtaa
relocation	sijoitus
reluctance	haluttomuus
reluctance	vastahakoisuus
reluctance	vastenmielisyys
reluctant	haluton
reluctant	vastahakoinen
reluctant	väkinäinen
remain	jäädä
remain	pysyä
remain	säilyä
remain	viipyä
remainder	erotus
remainder	loppu
remainder	loppuosa
remainder	ylijäämä
remaining	muu
remaining	pysyminen
remaining	pysyvä
remand	palauttaa
remark	huomata
remark	muistuttaa
remark	muistutus
remarkable	huomattava
remarkable	mainittava
remarkable	merkillinen
remarkable	merkittävä
remedy	apu
remedy	lääke
remedy	parannus
remedy	parannuskeino
remedy	parantaa
remember	muistaa
remember	muistella
remembrance	muisto
remembrance	muistolahja
remind	muistuttaa
reminder	karhukirje
reminder	maksukehotus
reminder	muisto
reminder	muistutus
reminisce	muistella
reminiscence	muistelma
reminiscence	muisto
reminiscence	muistuma
remission	helpotus
remission	lievennys
remit	alistaa
remit	lieventää
remit	lykätä
remit	lähettää
remit	peruuttaa
remit	vähentää
remittance	lähete
remittance	rahalähetys
remittance	suoritus
remnant	jäte
remnant	jäämä
remnant	rippeet
remnant	tähde
remonstrance	vastaväite
remonstrate	nuhdella
remorse	katumus
remorseful	katuvainen
remorseless	armoton
remorseless	säälimätön
remote	etäinen
remote	kaukainen
remote	syrjäinen
remoteness	kaukaisuus
removable	siirrettävä
removal	erottaminen
removal	kumoaminen
removal	muutto
removal	poistaminen
removal	poisto
removal	siirto
removal	siirtyminen
removal	siirtäminen
removal	viraltapano
remove	askel
remove	aste
remove	eliminoida
remove	erottaa
remove	muuttaa
remove	ottaa
remove	poistaa
remove	siirtää
remunerate	hyvittää
remunerate	korvata
remunerate	palkita
remuneration	korvaus
remunerative	edullinen
remunerative	kannattava
remunerative	tuottoisa
rend	raastaa
rend	repiä
rend	revetä
render	antaa
render	esittää
render	ilmaista
render	jättää
