tricuspid	trikuspidální
tricycle	tříkolka
tricyclic	tricyklický
trident	trojzubec
triennial	tříletý
trier	pokoušející se osoba
trier	zkoušeč
trifle	drobnost
trifle	maličkost
trig	klín
trig	zaklínit
trig	zarážka
trigger	kohoutek
trigger	spouštěč
trigger	spoušť
trigger-happy	impulzivní
triglyceride	triglycerid
trigon	trojúhelník
trigonometric	trigonometrický
trigonometry	trigonometrie
trigram	skupina tří písmen
trigram	trigram
trilateral	trilaterální
trilateral	trojstranný
trilby	plstěný klobouk
trilingual	trojjazyčný
trill	trylek
trill	trylkovat
trillion	bilión
trilogy	trilogie
trim	lemovat
trim	ostřihnutí
trim	ostříhat
trim	ořezat
trim	ořezávat
trim	ořezávání
trim	oříznutí
trim	pořádně
trim	přistřihnout
trim	přistřihávání
trim	stříhat
trim	udržovaný
trim	uklizený
trim	upravený
trim	upraveně
trim	upravovat
trim	vzhledný
trim	zastřihnout
trim	zkracovat
trim	zkrátit
trimaran	trimaran
trimester	trimestr
trimester	čtvrtletí
trimmer	střihač
trinity	nejsvětější trojice
trinity	trojice
trinket	cetka
trinket	levná bižuterie
trinket	tretka
trio	trio
triode	trioda
trip	cesta
trip	chyba
trip	omyl
trip	vypnutí
trip	výlet
trip	zakopnout
trip	zakopnutí
trip	zájezd
tripartite	tripartitní
tripartite	trojstranný
tripe	blbost
tripe	dršťky
tripe	hloupost
tripe	nesmysl
triple	trojitý
triple	trojnásobný
triplet	trojče
triplex	trojitý
triplex	trojnásobný
triplicate	ztrojnásobit
tripod	stativ
tripod	stojan
tripos	druh závěrečné zkoušky na Cambridgi
tripper	turista
triptych	triptych
trireme	triréma
trite	banální
trite	omšelý
trite	otřelý
trite	otřepaný
trite	triviální
triteness	banálnost
triteness	otřelost
tritium	tritium
triumph	triumf
triumph	triumfovat
triumphal	triumfální
triumphal	vítězoslavný
triumphant	vítězný
triumphant	vítězoslavný
triumphantly	triumfálně
triumvirate	triumvirát
triumvirate	trojice
trivalent	trojmocný
trivalent	třímocný
trivet	třínožka
trivia	drobnosti
trivia	maličkosti
trivial	obyčejný
trivial	triviální
trivialise	trivializovat
triviality	trivialita
trivialize	bagatelizovat
trivially	jednoduše
trivially	triviálně
trodden	pošlapaný
trodden	šlapaný
troglodyte	troglodyt
troglodyte	zaostalec
troika	trojka
troll	obr
troll	skřítek
troll	trol
troll	třpytka
troll	šotek
trolley	drezína
trolley	dvoukolák
trolley	kára
trolley	tramvaj
trolley	trolejbus
trolley	vozík
trolleybus	trolejbus
trollop	běhna
trollop	coura
trombone	pozoun
trombone	trombón
trombonist	pozounista
trombonist	trombónista
troop	rota
troop	vojsko
trooper	kavalerista
trooper	pěšák
troopship	druh vojenského plavidla
trope	tropus
trophic	trofický
trophoblast	trofoblast
trophy	trofej
tropic	obratník
tropic	tropický
tropical	tropický
tropically	tropicky
tropism	tropismus
tropopause	tropopauza
troposphere	troposféra
trot	klus
trot	klusat
trot	poklus
troth	pravda
troth	věrnost
troth	zásnubní slib
trotter	klusák
troubadour	trubadůr
trouble	brynda
trouble	dělat starosti
trouble	malér
trouble	mrzutost
trouble	nepokoj
trouble	nepokoje
trouble	nepříjemnost
trouble	nesnáz
trouble	nesnáze
trouble	obtíž
trouble	obtěžovat
trouble	porucha
trouble	potíž
trouble	potíže
trouble	problém
trouble	soužení
trouble	soužit
trouble	svízel
trouble	trable
trouble	trampota
trouble	trápit
trouble	těžkost
trouble	znepokojovat
trouble	zádrhel
trouble	závada
trouble	šlamastyka
trouble-free	bezproblémový
troublemaker	výtržník
troubleshooter	odstraňovatel problémů
troubleshooter	opravář
troublesome	neposlušný
troublesome	nepříjemný
trough	díž
trough	koryto
trough	korýtko
trough	káď
trough	nejnižší bod
