tempered	templado
tempest	tempestad
tempest	tormenta
tempest	tumulto
tempestuous	tempestuoso
templar	templario
template	plantilla
temple	sien
temple	templo
templet	plantilla
tempo	ritmo
tempo	tiempo
temporal	temporal
temporarily	provisionalmente
temporary	interino
temporary	provisional
temporary	temporal
temporary	temporario
temporary	temporero
temporary	temporáneo
temporary	transitorio
temporize	temporizar
tempt	atraer
tempt	seducir
tempt	tentar
temptation	aliciente
temptation	tentación
tempter	tentador
tempting	apetitoso
tempting	atractivo
tempting	seductor
tempting	tentador
ten	decena
ten	diez
tenacious	tenaz
tenacity	tenacidad
tenacity	tesón
tenancy	alquiler
tenancy	arriendo
tenancy	tenencia
tenant	arrendatario
tenant	inquilino
tenantry	arriendo
tend	atender
tend	cuidar
tend	dirigirse
tend	guardar
tend	ir
tend	manejar
tend	operar
tend	propender
tend	servir
tend	tender
tend	tirar
tend	vigilar
tendency	proclividad
tendency	propensión
tendency	tendencia
tendentious	tendencioso
tender	afectuoso
tender	amoroso
tender	blando
tender	brindar
tender	cuidador
tender	delicado
tender	dulce
tender	espinoso
tender	guardador
tender	moneda
tender	mostrar
tender	oferta
tender	ofertar
tender	ofrecer
tender	ofrecimiento
tender	presentar
tender	proponer
tender	proponerse
tender	proposición
tender	propuesta
tender	sensible
tender	sentido
tender	susceptible
tender	tierno
tender	ténder
tenderfoot	novato
tenderfoot	principiante
tenderhearted	compasivo
tenderness	sensibilidad
tenderness	suavidad
tenderness	terneza
tenderness	ternura
tendon	tendón
tendril	zarcillo
tenet	canon
tenet	dogma
tenet	principio
tenfold	décuplo
tennis	tenis
tennis court	pista de tenis
tenon	espiga
tenor	carácter
tenor	curso
tenor	significado
tenor	tenor
tense	dramático
tense	emocionante
tense	estirar
tense	rígido
tense	tensar
tense	tenso
tense	tesar
tense	tiempo
tense	tieso
tense	tirante
tensile	extensible
tensile	tensor
tension	tensión
tension	tirantez
tension	voltaje
tensor	tensor
tent	carpa
tent	tienda
tentacle	tentáculo
tentacle	tiento
tentative	provisional
tentative	tentativo
tenth	deceno
tenth	décimo
tenuity	tenuidad
tenuous	raro
tenuous	tenue
tenure	posesión
tenure	tenencia
tepid	tibio
tepidity	tibieza
tercentenary	tricentenario
tergiversate	tergiversar
tergiversation	evasiva
term	apellidar
term	concepto
term	condición
term	denominar
term	designar
term	dicho
term	duración
term	edad
term	hora
term	llamar
term	mencionar
term	nombrar
term	palabra
term	período
term	plazo
term	tiempo
term	término
term	vocablo
term	voz
term	época
termagant	arpía
termagant	pendenciero
terminal	final
terminal	terminal
terminal	término
terminate	acabar
terminate	acabarse
terminate	cesar
terminate	concluir
terminate	finalizar
terminate	finalizarse
terminate	interrumpir
terminate	limitar
terminate	terminar
terminate	terminarse
termination	cabo
termination	desinencia
termination	fin
termination	terminación
terminological	terminológico
terminology	terminología
terminus	término
termite	comején
termite	termita
ternary	terno
ternary	triple
terra	tierra
terrace	azotea
terrace	terrado
terrace	terraza
terracotta	terracota
terrain	terreno
terrene	terreno
terrestrial	terrenal
terrestrial	terreno
terrestrial	terrestre
terrible	formidable
terrible	horrible
terrible	terrible
terrible	tremendo
terrier	terrier
terrific	estupendo
