blandish	vleien
blandly	beleefd
blank	blanco
blank	blank
blank	ledig
blank	leeg
blank	leegte
blank	oningevuld
blank	wit
blanket	bedekken
blanket	dek
blanket	deken
blanket	dekken
blanket	verdringen
blaspheme	ketteren
blaspheme	vervloeken
blaspheme	vloeken
blasphemy	godslastering
blasphemy	vervloeking
blasphemy	vloek
blast	ontploffing
blast	stoot
blast	vernietigen
blast	wind
blatant	schaamteloos
blaze	blaken
blaze	brand
blaze	gloed
blaze	gloeien
blaze	schitteren
blaze	vlam
blazon	blazoen
bleach	bleken
bleak	donker
bleak	kaal
bleak	naar
bleak	somber
bleak	vervelend
bleak	woest
bleakness	kilheid
blear	duister
blear	vaag
bleary	vaag
bleed	bloeden
bleeding	bloeding
blemish	bekladden
blemish	bevlekken
blend	mengen
blend	mixen
blend	temperen
blend	vermengen
blend	verwarren
blend	wassen
bless	inzegenen
bless	loven
bless	zegenen
blessing	zegen
blessing	zegening
blight	brand
blight	verderven
blight	vernietigen
blight	verwoesten
blind	blind
blindly	blind
blindly	blindelings
blindness	blindheid
blink	knipogen
blink	knipperen
blink	pinken
blink	schitteren
blink	tintelogen
bliss	geluk
blissful	zalig
blister	blaas
blister	blaasje
blithe	blij
blithering	praatziek
blithesome	vrolijk
bloater	bokking
blob	mop
bloc	blok
block	afsluiten
block	blok
block	blokkeren
block	dichten
block	dichtmaken
block	lul
block	stoppen
block	stremmen
block	toestoppen
block	vastzetten
block	versperren
block	verstoppen
block	volstoppen
blockade	blokkade
blockade	blokkeren
blockade	vastzetten
blockage	opstopping
blockage	verstopping
blond	blond
blonde	blond
blood	bloed
bloodsucker	bloedzuiger
bloody	bloedend
bloody	bloedig
bloom	bloei
bloom	bloeien
bloom	bloem
bloom	bloesem
blossom	bloei
blossom	bloeien
blossom	bloesem
blot	bekladden
blot	bezoedelen
blot	klad
blot	klak
blot	moet
blot	mop
blot	plek
blot	smet
blot	vlek
blot	vlekken
blotch	klad
blotch	smet
blotch	vlek
blouse	bloes
blouse	blouse
blouse	boezeroen
blouse	kiel
blow	blazen
blow	flap
blow	houw
blow	klap
blow	mep
blow	slag
blow	stoot
blow	waaien
blowball	paardebloem
blowpipe	blaasroer
blowy	winderig
blue	blauw
blue	conservatief
blue	lucht
bluebell	klokje
blueberry	bosbes
bluebottle	korenbloem
blueprint	ontwerp
blueprint	ontwerpen
blueprint	plan
bluey	blauwachtig
bluff	bluffen
bluff	klif
bluish	blauwachtig
blunt	afstompen
blunt	bot
blunt	bot maken
blunt	lomp
blunt	ronduit
blunt	stomp
blur	verduisteren
blush	blozen
blush	kleuren
blush	rood worden
bluster	razen
bluster	tieren
boa	boa
boar	beer
boar	mannetjesvarken
board	bestuur
board	bord
board	bordpapier
board	karton
board	kost
board	plank
board	tablet
board	tafel
boast	bluffen
boast	opscheppen
boast	pochen
boast	snoeven
boast	snorken
boast	stoffen
boast	trots
boast	zwetsen
boaster	bluffer
boat	boot
boat	schuit
bob	dansen
bobbin	bobine
bobbin	klos
bobbin	spoel
bobby	politieagent
bode	voorspellen
bodily	totaal
bodkin	priem
body	carrosserie
body	corporatie
body	groep
body	lichaam
body	lijf
