injured	zranený
injury	krivda
injury	poškodenie
injury	zranenie
injury	úraz
injury	škoda
injustice	bezprávie
injustice	krivda
injustice	nespravodlivosť
ink	atrament
inkling	tušenie
inkstand	kalamár
inky	atramentový
inland	domáci
inland	vnútrozemie
inland	vnútrozemský
inlet	prítok
inlet	prívod
inlet	vstup
inmate	chovanec
inmate	pacient
inn	hostinec
innate	prirodzený
innate	vlastný
innate	vrodený
inner	skrytý
inner	vnútorný
innermost	vnútorný
innings	zmena
innkeeper	krčmár
innocence	nevinnosť
innocent	nevinný
innocent	neškodný
innocuous	neškodný
innovate	zaviesť
innovation	novota
innovation	zlepšenie
innovator	novátor
innovator	zlepšovateľ
innoxious	neškodný
innuendo	narážka
inoculation	očkovanie
inoculation	štepenie
inoffensive	neškodný
inoperative	neúčinný
inorganic	anorganický
inorganic	neorganický
inosculation	napojenie
input	príkon
input	prívod
input	vstup
input	zadať
inquest	posúdenie
inquest	vyšetrovanie
inquietude	nepokoj
inquire	informovať sa
inquire	skúmať
inquire	vyšetrovať
inquiry	anketa
inquiry	dopyt
inquiry	dotaz
inquiry	informácia
inquiry	pátranie
inquiry	skúmanie
inquiry	vyšetrovanie
inquiry	šetrenie
inquisition	inkvizícia
inquisition	pátranie
inquisition	vyšetrovanie
inquisitive	zvedavý
inroad	nájazd
inroad	vpád
insane	šialený
insanity	šialenstvo
inscribe	napísať
inscribe	vyryť
inscription	nápis
inscription	zápis
inscrutable	tajomný
insect	hmyz
insecure	neistý
insecurity	neistota
insensate	nezmyselne
insensibility	ľahostajnosť
insensible	apatický
insensible	bezcitný
insensible	bezohľadný
insensible	necitlivý
insensible	nepostrehnuteľný
insensitive	necitlivý
insensitiveness	ľahostajnosť
insentience	ľahostajnosť
inseparable	neoddeliteľný
inseparably	nerozlučne
insert	vkladanie
insert	vkladať
insert	vloženie
insert	vložiť
insert	vložka
insert	vsadiť
insert	vsunúť
inserting	vkladanie
insertion	vkladanie
insertion	vloženie
insertion	vložka
insertion	vsunutie
insertion	vsuvka
insertion	zapojenie
inset	vložiť
inside	dovnútra
inside	vnútorný
inside	vnútrajšok
inside	vnútri
inside	vnútro
inside	vo vnútri
insidious	zákerný
insight	pochopenie
insight	pohľad
insight	porozumieť
insightful	bystrý
insignia	insígnie
insignificant	bezvýznamný
insincere	neúprimný
insinuate	naznačiť
insinuation	narážka
insist	naliehať
insist	trvať
insistent	neodbytný
insistent	vtieravý
insists	trvá
insists	tvrdí
insofar	natoľko
insolence	bezočivosť
insolence	drzosť
insolent	drzý
insoluble	nerozpustný
insomnia	nespavosť
inspect	dozerať
inspect	kontrolovať
inspect	obhliadnuť
inspect	prehliadnuť
inspect	prezerať
inspect	prezrieť
inspection	dozor
inspection	inšpekcia
inspection	kontrola
inspection	prehliadka
inspector	dozorca
inspector	inšpektor
inspire	inšpirovať
inspire	nadchnúť
inspire	vzbudiť
inspired	geniálny
instability	nestabilita
instability	nestálosť
install	inštalovať
install	namontovať
install	nastoliť
install	uviesť
install	zaviesť
installation	aparatúra
installation	inštalácia
installation	zariadenie
installations	inštalácia
installing	inštalovanie
installing	inštalácia
installment	inštalácia
instalment	pokračovanie
instalment	splátka
instalment	časť
instance	inštancia
instance	príklad
instance	prípad
instance	situácia
instance	žiadosť
instances	žiadosti
instant	bezprostredný
instant	chvíľa
instant	naliehavý
instant	okamih
instant	okamžitý
instant	priamy
instant	súčasný
instantaneous	okamžitý
instantaneously	okamžite
instanter	okamžite
instantly	bezprostredne
instantly	hneď
instantly	okamžite
instate	uviesť
instead	namiesto
instead of	miesto
instead of	namiesto
instigation	podnet
instigator	podnecovateľ
instinct	inštinkt
instinct	pud
instinctive	inštinktívny
instinctive	pudový
institute	inštitút
